atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
111466,Victor Gabriel,ZAG,66.0,0.0,0.0,26.0,48.0,83.0,0.0,0,0.0,0.0,503.0,363.0,0.0,14.0,0.0,0.0,62.0,0.0,0.0,0.0,74.0,26.0,66.0,202.0,1429.8,0.8918918918918919
111577,Lucas Gonçalves,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111578,António Oliveira,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111582,Gabriel Átila,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111594,Micael,ZAG,0.0,15.0,11.0,28.0,0.0,71.0,0.0,0,0.0,0.0,258.0,454.0,0.0,72.0,0.0,0.0,116.0,0.0,0.0,0.0,39.0,39.0,15.0,-80.0,858.5,0.0
111682,Adson,MEI,0.0,0.0,0.0,66.0,0.0,69.0,0.0,0,0.0,0.0,86.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,59.0,208.79999999999998,0.0
111683,Anthoni,GOL,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,819.0,0.0,682.0,0.0,0.0,0.0,85.0,596.5,0.0
111690,Matheus Cunha,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111757,Ryan Guilherme,MEI,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,53.599999999999994,0.0
111760,Fabinho,MEI,0.0,33.0,0.0,56.0,143.0,316.0,0.0,0,0.0,0.0,443.0,484.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,56.0,33.0,-41.0,831.0,0.0
